a		Nc, Ng, Vit, I, E
ngồi lê đôi mách		Vit
ngồi lê mách lẻo		Vit
ngồi mát ăn bát vàng		X
ngồi phệt		Vit
ngồi tù		Vit
ngồi xếp bằng		Vit
ngồi xếp bằng tròn		Vit
ngồi xổm		Vit
ngôn luận		Vit
ngôn ngữ		Na
ngôn ngữ hình thức		Na
ngôn ngữ học		Na
ngôn ngữ lập trình		Na
ngôn ngữ tự nhiên		Na
ngôn ngữ văn hoá		Na
ngôn ngữ văn học		Na
ngôn từ		Na
ngồn ngộn		Aa, An
ngổn ngang		Aa
ngốn		Vt
ngốn ngấu		Vit
ngộn		Aa, An
ngông		Aa
ngông cuồng		Aa
ngông nghênh		Aa
ngông nghênh		Aa
ngồng		Nc, Aa
ngỗng		Nc, Ng
ngỗng trời		Nc, Ng
ngộp		Aa
ngốt		Aa
ngột		Vt, Aa
ngột ngạt		Aa
ngơ		Vit
ngơ ngác		Vit, Aa
ngơ ngáo		Aa
ngơ ngẩn		Aa
ngơ ngơ		Aa
ngờ		Vt, Vim, Vtim
ngờ đâu		X
ngờ ngạc		Aa
ngờ nghệch		Aa
ngờ ngợ		Vt
ngờ vực		Vt, Vim, Vtim
ngỡ		Vt, Vim, Vtim
ngỡ ngàng		Aa
ngớ		Vt
ngớ ngẩn		Aa
ngợ		Vt
ngơi		Vt
ngời		Aa
ngợi		Vt
ngợi ca		Vt
ngợi khen		Vt
ngơm ngớp		Vit
ngờm ngợp		Vit
ngợm		Na
ngợp		Vit
ngớt		Vit
ngu		Aa
ngu dại		Aa
ngu dân		Vit
ngu dốt		Aa
ngu đần		Aa
ngu độn		Aa
ngu muội		Aa
ngu ngốc		Aa
ngu ngơ		Aa
ngu si		Aa
ngu xuẩn		Aa
ngù		Nc
ngù		Nc
ngù ngờ		Aa
ngủ		Vit
ngủ đậu		Vit
ngủ đông		Vit
ngủ gà		Vit
ngủ gà ngủ gật		Vit
ngủ gật		Vit
ngủ khì		Vit
ngủ lang		Vit
ngủ mê		Vit
ngủ ngáy		Vit
ngủ nghê		Vit
ngủ nhè		Vit
ngũ		Na
ngũ âm		Na
ngũ cốc		Na
ngũ cung		Na
ngũ đoản		An
ngũ gia bì		Nc, Ng
ngũ giác		Na
ngũ giới		Na
ngũ hành		Na
ngũ kim		Na
ngũ kinh		Na
ngũ liên		Na
ngũ luân		Na
ngũ ngôn		Na
ngũ phúc		Na
ngũ quả		Ng
ngũ quan		Na
ngũ sắc		Na
ngũ tạng		Nc, Ng
ngũ thường		Na
ngũ vị		Nc, Ng
ngụ		Vit, Vt
ngụ cư		Vit
ngụ ngôn		Na
ngụ ý		Na
nguây nguẩy		Vit
nguẩy		Vt
ngúc ngắc		Vt
ngúc ngắc		Aa
ngúc ngoắc		Aa
ngục		Nc, Ng
ngục thất		Nc, Ng
ngục tù		Nc, Ng
nguếch ngoác		Aa
nguệch ngoạc		Aa
ngùi ngùi		Aa
ngultrum		Np
ngủm		Vit
ngụm		Nu
ngùn ngụt		Vit
ngún		Vit
ngủng nghỉnh		Vit
ngúng nga ngúng nguẩy		Vit
ngúng nguẩy		Vit
nguôi		Vt
nguôi ngoai		Vit
nguội		Na, Aa
nguội lạnh		Aa
nguội ngắt		Aa
nguội tanh		Aa
nguội tanh nguội ngắt		Aa
nguồn		Nc, Ng
nguồn cấp điện liên tục		Nc, Ng
nguồn cội		Nc, Ng
nguồn cơn		Na
nguồn gốc		Nc, Ng
ngụp		Vit
ngụp lặn		Vit
ngút		Vit
ngút ngàn		An
nguy		Aa
nguy biến		Na
nguy cấp		Aa
nguy cơ		Na
nguy hại		Aa
nguy hiểm		Na, Aa
nguy khốn		Aa
nguy kịch		Aa
nguy nan		Aa
nguy nga		Aa
nguy ngập		Aa
nguy vong		Aa
nguỵ		Nc, Ng, Aa
nguỵ biện		Vit
nguỵ binh		Nc, Ng
nguỵ quân		Nc, Ng
nguỵ quyền		Nc, Ng
nguỵ tạo		Vit
nguỵ trang		Vt
nguỵ vận		Vit
nguyên		Na, Aa, Jd
nguyên âm		Na
nguyên bản		Na
nguyên canh		Aa
nguyên cáo		Na
nguyên chất		Aa
nguyên công công nghệ		Na
nguyên cớ		Na
nguyên dạng		Na
nguyên do		Na
nguyên đại		Na
nguyên đán		Na
nguyên động lực		Na
nguyên đơn		Na
nguyên hình		Na
nguyên khai		Aa
nguyên lai		Na
nguyên lành		Aa
nguyên lão viện		Nc, Ng
nguyên lí		Na
nguyên liệu		Nc, Ng
nguyên liệu chính		Nc, Ng
nguyên lý		Na
nguyên mẫu		Na
nguyên ngữ		Na
nguyên nhân		Na
nguyên niên		Na
nguyên phát		Vit
nguyên quán		Na
nguyên sinh		Na, Aa
nguyên soái		Nc, Ng
nguyên sơ		Aa
nguyên suý		Nc, Ng
nguyên tác		Na
nguyên tắc		Na
nguyên thủ		Nc, Ng
nguyên thuỷ		Aa
nguyên tố		Nc, Ng
nguyên tố hoá học		Nc, Ng
nguyên trạng		Na
nguyên tử		Na
nguyên tử số		Na
nguyên uỷ		Na
nguyên văn		Na
nguyên vật liệu		Nc, Ng
nguyên vẹn		Aa
nguyên vị		Na
nguyên xi		Aa
nguyền		Vt
nguyền rủa		Vt
nguyện		Vt
nguyện ước		Vt
nguyện vọng		Na
nguyệt		Na
nguyệt hoa		Na
Nguyệt Lão		Np
nguyệt liễm		Na
nguyệt phí		Na
nguyệt quế		Na
nguyệt san		Nc, Ng
nguyệt thực		Nc, Ng
nguýt		Vt
ngư cụ		Nc, Ng
ngư dân		Nc, Ng
ngư hộ		Nc, Ng
ngư long		Nc, Ng
ngư lôi		Nc, Ng
ngư nghiệp		Na
ngư ông		Nc, Ng
ngư phủ		Nc, Ng
ngư trường		Nc, Ng
ngữ		Na
ngữ âm		Na
ngữ âm học		Na
ngữ cảnh		Nc
ngữ điệu		Na
ngữ đoạn		Na
ngữ hệ		Na
ngữ học		Na
ngữ khí		Na
ngữ liệu		Ng
ngữ nghĩa		Na
ngữ nghĩa học		Na
ngữ ngôn		Na
ngữ ngôn học		Na
ngữ pháp		Na
ngữ pháp học		Na
ngữ tộc		Na
ngữ văn		Na
ngữ vựng		Na
ngự		Vit
ngự		Vit, Aa
ngự giá		Na, Vit
ngự lãm		Vit
ngự sử		Na
ngự trị		Vit
ngự uyển		Na
ngự y		Nc, Ng
ngưa ngứa		Vit
ngừa		Vt
ngửa		Vt, Aa
ngửa nghiêng		Aa
ngửa tay		Vt
ngứa		Vit
ngứa gan		Vit
ngứa mắt		Vit
ngứa miệng		Vit
ngứa mồm		Vit
ngứa ngáy		Vit
ngứa nghề		Vit
ngứa tai		Vit
ngứa tay		Vit
ngứa tiết		Vit
ngựa		Nc, Ng
ngựa bạch		Nc, Ng
ngựa chứng		Nc, Ng
ngựa con háu đá		X
ngựa hồng		Nc, Ng
ngựa nghẽo		Nc, Ng
ngựa non háu đá		X
ngựa ô		Nc, Ng
ngựa phản chủ		X
ngựa quen đường cũ		X
ngựa tía		Nc, Ng
ngựa trâu		Nc, Ng
ngựa trời		Nc, Ng
ngựa vằn		Nc, Ng
ngựa xe		Nc, Ng
ngực		Nc, Ng
ngửi		Vt
ngưng		Vt
ngưng đọng		Vit
ngưng trệ		Vit
ngưng tụ		Vit
ngừng		Vt
ngừng bắn		Vit
ngừng trệ		Vit
ngửng		Vt
ngước		Vt
ngược		Vto, Aa
ngược đãi		Vt
ngược đời		Aa
ngược lại		X
ngược ngạo		Aa
ngược xuôi		Vit
ngươi		Pp
người		Nc, Ng
người bệnh		Nc, Ng
người bị hại		Nc, Ng
người bình luận		Nc, Ng
người dưng		Nc, Ng
người dưng nước lã		Nc, Ng
người đời		Nc, Ng
người hùng		Nc, Ng
người làm		Nc, Ng
người lớn		Nc, Ng
người máy		Nc, Ng
người mẫu		Nc, Ng
người ngoài		Nc, Ng
người ngợm		Nc, Ng
người người		Nc, Ng
người nhà		Nc, Ng
người nhái		Nc, Ng
người ở		Nc, Ng
người phát ngôn		Nc, Ng
người quản lí		Nc, Ng
người quản lý		Nc, Ng
người rừng		Nc, Ng
người ta		Nc, Ng, Pp
người thân		Nc, Ng
người thương		Nc, Ng
người tình		Nc, Ng
người trần mắt thịt		Np
người vượn		Nc, Ng
người xưa		Nc, Ng
người yêu		Nc, Ng
ngường ngượng		Vitim, Aa
ngưỡng		Na, Vt
ngưỡng cửa		Nc, Ng
ngưỡng mộ		Vt, Vim
ngưỡng vọng		Vt, Vim
ngượng		Vitim, Aa
ngượng mặt		Vit
ngượng mồm		Vit
ngượng ngập		Aa
ngượng nghịu		Aa
ngượng ngùng		Aa
ngứt		Vt
ngưu tất		Nc
nha		Nc
nha dịch		Nc, Ng
nha khoa		Na
nha lại		Nc, Ng
nha môn		Nc, Ng
nha phiến		Nc, Ng
nha sĩ		Nc, Ng
nhà		Nc, Ng
nhà ăn		Nc, Ng
nhà bảo sanh		Nc, Ng
nhà báo		Nc, Ng
nhà bạt		Nc, Ng
nhà băng		Nc, Ng
nhà bè		Nc, Ng
nhà bếp		Nc, Ng
nhà binh		Nc, Ng
nhà buôn		Nc, Ng
nhà cái		Nc, Ng
nhà cầu		Nc, Ng
nhà chọc trời		Nc, Ng
nhà chùa		Nc, Ng
nhà chung		Nc, Ng
nhà chứa		Nc, Ng
nhà chức trách		Nc, Ng
nhà cửa		Nc, Ng
nhà dàn cảnh		Nc, Ng
nhà dây thép		Nc, Ng
nhà doanh nghiệp		Nc, Ng
nhà dòng		Nc, Ng
nhà đá		Nc, Ng
nhà đám		Nc, Ng
nhà đèn		Nc, Ng
nhà điều dưỡng		Nc, Ng
nhà đoan		Nc, Ng
nhà đương chức		Nc, Ng
nhà đương cục		Nc, Ng
nhà ga		Nc, Ng
nhà gác		Nc, Ng
nhà gái		Nc, Ng
nhà giam		Nc, Ng
nhà giáo		Nc, Ng
nhà giáo nhân dân		Nc, Ng
nhà giáo ưu tú		Nc, Ng
nhà hàng		Nc, Ng
nhà hát		Nc, Ng
nhà hát nhân dân		Nc, Ng
nhà hộ sinh		Nc, Ng
nhà in		Nc, Ng
nhà khách		Nc, Ng
nhà kho		Nc, Ng
nhà kinh doanh		Nc, Ng
nhà kính		Nc, Ng
nhà lao		Nc, Ng
nhà lầu		Nc, Ng
nhà lồng		Nc, Ng
nhà may		Nc, Ng
nhà máy		Nc, Ng
nhà mô phạm		Nc, Ng
nhà mồ		Nc, Ng
nhà ngang		Nc, Ng
nhà nghề		Na
nhà ngươi		Na
nhà nho		Nc, Ng
nhà nòi		Na
nhà nông		Nc, Ng
nhà nước		Nc, Ng
nhà ốc		Nc, Ng
nhà pha		Nc, Ng
nhà quê		Ng, Aa
nhà rông		Nc, Ng
nhà rường		Nc, Ng
nhà sách		Nc, Ng
nhà sàn		Nc, Ng
nhà săm		Nc, Ng
nhà sư		Nc, Ng
nhà táng		Nc, Ng
nhà tập thể		Nc, Ng
nhà thầu		Nc, Ng
nhà thổ		Nc, Ng
nhà thơ		Nc, Ng
nhà thờ		Nc, Ng
nhà thuốc		Nc, Ng
nhà thương		Nc, Ng
nhà tiêu		Nc, Ng
nhà tình nghĩa		Nc, Ng
nhà tơ		Nc, Ng
nhà trai		Nc, Ng
nhà trẻ		Nc, Ng
nhà trệt		Nc, Ng
nhà trò		Nc, Ng
nhà trọ		Nc, Ng
nhà trừng giới		Nc, Ng
nhà trường		Nc, Ng
nhà tu		Nc, Ng
nhà tu kín		Nc, Ng
nhà tù		Nc, Ng
nhà tư tưởng		Nc, Ng
nhà văn		Nc, Ng
nhà văn hoá		Nc, Ng
nhà vệ sinh		Nc, Ng
nhà việc		Nc, Ng
nhà vua		Nc, Ng
nhà vườn		Nc, Ng
nhà xác		Nc, Ng
nhà xe		Nc, Ng
nhà xí		Nc, Ng
nhà xuất bản		Nc, Ng
nhà xưởng		Nc, Ng
nhả		Na, Vt, Aa
nhả ngọc phun châu		X
nhả nhớt		Vit, Aa
nhã		Aa
nhã nhạc		Nc, Ng
nhã nhặn		Aa
nhã ý		Na
nhá		Vt, I
nhá nhem		Aa
nhác		Vt, Aa
nhạc		Nc, Ng
nhạc cảnh		Nc, Ng
nhạc công		Nc, Ng
nhạc cụ		Nc, Ng
nhạc điện tử		Nc, Ng
nhạc điệu		Nc, Ng
nhạc đồng quê		Nc, Ng
nhạc gia		Nc, Ng
nhạc hiệu		Nc, Ng
nhạc khí		Nc, Ng
nhạc khúc		Nc, Ng
nhạc kịch		Nc, Ng
nhạc lễ		Na
nhạc lí		Na
nhạc lý		Na
nhạc mẫu		Nc, Ng
nhạc nhẹ		Nc, Ng
nhạc phẩm		Nc, Ng
nhạc phổ		Nc, Ng
nhạc phụ		Nc, Ng
nhạc sĩ		Nc, Ng
nhạc sống		Nc, Ng
nhạc sư		Nc, Ng
nhạc tài tử		Nc, Ng
nhạc thính phòng		Nc, Ng
nhạc tính		Na
nhạc trưởng		Nc, Ng
nhạc vàng		Nc, Ng
nhạc viện		Nc, Ng
nhách		Na, Vt, Aa
nhai		Vt
nhai lại		Nc, Ng
nhai nhải		Vit
nhài		Nc, Ng
nhãi		Nc, Ng
nhãi con		Nc, Ng
nhãi nhép		Nc, Ng
nhãi ranh		Nc, Ng
nhái		Nc, Ng, Vt
nhái bén		Nc, Ng
nhại		Vt
nham		Nc, Ng
nham hiểm		Aa
nham nhở		Aa
nham thạch		Nc, Ng
nhàm		Aa
nhàm chán		Aa
nhàm tai		Aa
nhảm		Aa
nhảm nhí		Aa
nhám		Aa
nhám sì		Aa
nhan đề		Na
nhan nhản		An
nhan sắc		Na
nhàn		Aa
nhàn cư		Vit
nhàn cư vi bất thiện		X
nhàn du		Vit
nhàn đàm		Vit
nhàn hạ		Aa
nhàn nhã		Aa
nhàn nhạt		Aa
nhàn rỗi		Aa
nhàn tản		Aa
nhãn		Nc, Ng
nhãn cầu		Nc, Ng
nhãn hiệu		Nc, Ng
nhãn khoa		Na
nhãn lồng		Nc, Ng
nhãn lực		Na
nhãn nước		Nc, Ng
nhãn quan		Na
nhãn quang		Na
nhãn tiền		Aa
nhãn vở		Nc, Ng
nhạn		Nc, Ng
nhang		Nc, Ng
nhang khói		Nc, Ng
nhàng nhàng		Aa
nhãng		Vt
nhãng quên		Vt
nhanh		Aa
nhanh chóng		Aa
nhanh nhảu		Aa
nhanh nhảu đoảng		Aa
nhanh nhạy		Aa
nhanh nhẩu		Aa
nhanh nhẹn		Aa
nhanh trí		Aa
nhành		Nc, Nt, Vt
nhảnh		Vt
nhánh		Nc, Nt
nhao		Vit
nhao nhác		Vit
nhao nhao		Vit
nhào		Vit, Vt
nhào lộn		Vit
nhào nặn		Vt
nhảo		Vit
nhão		Aa
nhão nhoét		Aa
nhão nhoẹt		Aa
nháo		Vit, Aa
nháo nhác		Aa
nháo nhào		Aa
nhạo		Vt
nhạo báng		Vt
nháp		Vit, Aa
nhát		Na, Vt, Aa
nhát gái		Aa
nhát gan		Aa
nhát gừng		Aa
nhạt		Aa
nhạt hoét		Aa
nhạt nhẽo		Aa
nhạt nhoà		Aa
nhạt phai		Vit
nhạt phấn phai hương		X
nhạt phèo		Aa
nhạt thếch		Aa
nhau		Nc, Na
nhàu		Aa
nhàu nát		Aa
nhay		Vt
nhay nháy		Vit
nhảy		Vit
nhảy bổ		Vit
nhảy cà tưng		Vit
nhảy cà tửng		Vit
nhảy cao		Vit
nhảy cẫng		Vit
nhảy cầu		Vit
nhảy cóc		Vit
nhảy cỡn		Vit
nhảy dây		Vit
nhảy dù		Vit
nhảy đầm		Vit
nhảy múa		Vit
nhảy mũi		Vit
nhảy nhót		Vit
nhảy ổ		Vit
nhảy sào		Vit
nhảy tót		Vit
nhảy vọt		Vit
nhảy xa		Vit
nhảy xổ		Vit
nháy		Vt
nháy kép		Vit
nháy mắt		Nc, Ng
nháy nháy		Aa
nhạy		Aa
nhạy bén		Aa
nhạy cảm		Aa
nhắc		Vt
nhắc chừng		Vit
nhắc nhỏm		Vt
nhắc nhở		Vt
nhắc nhủ		Vt
nhắc vở		Vit
nhăm		Nn
nhăm nhăm		Aa
nhăm nhe		Vtv
nhằm		Vt, Aa, Cm
nhằm nhè		Vit
nhằm nhò		Vit
nhắm		Vt
nhắm mắt		Vit
nhắm mắt đưa chân		X
nhắm mắt xuôi tay		Vit
nhắm nghiền		Vit
nhắm nháp		Vt
nhắm nhe		Vit
nhắm nhía		Vt
nhặm		Aa
nhặm lẹ		Aa
nhăn		Vt, Vit, Aa
nhăn nheo		Aa
nhăn nhíu		Aa
nhăn nhó		Vit, Aa
nhăn nhở		Vit, Aa
nhăn nhúm		Aa
nhăn răng		Vit
nhằn		Vt
nhẵn		Vt, Aa
nhẵn lì		Aa
nhẵn mặt		Vit
nhẵn nhụi		Aa
nhẵn thín		Aa
nhẵn túi		Aa
nhắn		Vt
nhắn gửi		Vt
nhắn nhe		Vt
nhắn nhủ		Vt
nhắn tìm		Vt
nhăng		Aa
nhăng cuội		Aa
nhăng nhít		Aa
nhằng		Vit, Aa
nhằng nhẵng		Aa
nhằng nhịt		Aa
nhẳng		Aa
nhắng		Aa
nhắng nhít		Aa
nhặng		Nc, Ng, Aa
nhặng bộ		Aa
nhặng xị		Aa
nhắp		Vt
nhặt		Vt, Aa
nhặt nhạnh		Vt
nhấc		Vt
nhâm		Na
nhâm nhi		Vt
nhầm		Vt
nhầm lẫn		Vt
nhầm nhỡ		Na, Vit
nhẩm		Vt
nhấm		Vt
nhấm nháp		Vt
nhấm nhẳn		Aa
nhấm nhẳng		Aa
nhậm chức		Vt
nhân		Na, Vt, Cc
nhân ái		Vit
nhân ảnh		Na
nhân bản		Vt, Aa
nhân bản chủ nghĩa		Aa
nhân cách		Na
nhân cách hoá		Vit
nhân chủng		Na
nhân chủng học		Na
nhân chứng		Nc, Ng
nhân công		Nc, Ng
nhân dạng		Na
nhân danh		Na, Vt
nhân dân		Nc, Ng, Aa
nhân dân tệ		Nu
nhân dịp		Cc
nhân duyên		Na
nhân đạo		Na, Aa
nhân đạo chủ nghĩa		Aa
nhân đức		Aa
nhân gian		Na
nhân giống		Na, Vt
nhân hậu		Aa
nhân hoà		Na
nhân hoá		Vit
nhân khẩu		Nc, Ng
nhân khẩu học		Na
nhân kiệt		Nc, Ng
nhân loại		Nc, Ng
nhân loại học		Na
nhân luân		Na
nhân lực		Na
nhân mãn		Na
nhân mạng		Nc, Ng
nhân mối		Na
nhân ngãi		Na
nhân nghĩa		Na
nhân ngôn		Na
nhân nhẩn		Aa
nhân nhượng		Vt
nhân phẩm		Na
nhân quả		Na
nhân quần		Na
nhân quyền		Na
nhân sâm		Nc, Ng
nhân sĩ		Nc, Ng
nhân sinh		Na
nhân sinh quan		Na
nhân số		Na
nhân sư		Na
nhân sự		Na
nhân tài		Na
nhân tạo		Aa
nhân tâm		Na
nhân thân		Na
nhân thể		Na, Jr, Cm
nhân thế		Na
nhân thọ		Na
nhân tiện		Cc
nhân tình		Na
nhân tình thế thái		Na
nhân tính		Na
nhân tố		Na
nhân trung		Nc, Ng
nhân từ		Aa
nhân văn		Aa
nhân văn chủ nghĩa		Aa
nhân vật		Nc, Ng
nhân vị		Aa
nhân viên		Nc, Ng
nhân vô thập toàn		X
nhần nhận		Aa
nhẩn nha		Aa
nhẫn		Nc, Ng, Vit, Cc
nhẫn cưới		Nc, Ng
nhẫn nại		Aa
nhẫn nhịn		Vit
nhẫn nhục		Vit
nhẫn tâm		Vt, Aa
nhấn		Vt
nhấn chìm		Vt
nhấn mạnh		Vt
nhận		Vta
nhận biết		Vt
nhận chân		Vt
nhận dạng		Vt
nhận diện		Vt
nhận định		Na, Vt
nhận gửi hàng		Vit
nhận lời		Vt
nhận mặt		Vt
nhận thầu		Vt
nhận thức		Na, Vt
nhận thức luận		Na
nhận thực		Vit
nhận vơ		Vit
nhận xét		Na, Vt
nhâng nháo		Aa
nhấp		Vt
nhấp giọng		Vit
nhấp nha nhấp nháy		Vit
nhấp nha nhấp nhô		Aa
nhấp nha nhấp nhổm		Aa
nhấp nhánh		Vit, Aa
nhấp nháy		Vit
nhấp nhem		Aa
nhấp nhính		Aa
nhấp nhoáng		Vit, Aa
nhấp nhỏm		Aa
nhấp nhô		Aa
nhấp nhổm		Aa
nhấp nhứ		Vit
nhập		Vt
nhập cảng		Vit
nhập cảnh		Vit
nhập cục		Vit
nhập cuộc		Vit
nhập cư		Vit
nhập đề		Vit
nhập định		Vit
nhập gia tuỳ tục		X
nhập học		Vit
nhập khẩu		Vt
nhập môn		Vit
nhập ngoại		Vit
nhập ngũ		Vit
nhập nhà nhập nhằng		Aa
nhập nhằng		Vit, Aa
nhập nhèm		Vit, Aa
nhập nhoà		Aa
nhập nhoạng		Aa
nhập nhoè		Vit, Aa
nhập nội		Vit
nhập quan		Vit
nhập siêu		Na
nhập tâm		Vit
nhập thế		Vit
nhập tịch		Vit
nhập tràng		Vit
nhập vai		Vt, Aa
nhập viện		Vit
nhất		Nn, Aa, Jd
nhất bản vạn lợi		X
nhất cử lưỡng tiện		X
nhất cử nhất động		Na
nhất đán		Jt, Jr
nhất đẳng		Aa
nhất định		Jd, Aa
nhất hạng		Aa
nhất hô bá ứng		X
nhất là		X
nhất loạt		Jd
nhất luật		Jd
nhất mực		Jd
nhất nguyên		Aa
nhất nguyên luận		Na
nhất nhất		Jd
nhất phẩm		Na
nhất quán		Aa
nhất quyết		Vtv, Jd
nhất sinh		Jr
nhất tâm		Aa, Jd
nhất tề		Jd
nhất thành bất biến		Aa
nhất thần		Aa
nhất thần giáo		Na
nhất thần luận		Na
nhất thể hoá		Vt
nhất thiết		Jd
nhất thống		Vt
nhất thời		Aa
nhất trí		Vt, Aa
nhất viện chế		Na
nhật ấn		Na
nhật báo		Nc, Ng
nhật dụng		Aa
nhật kì		Na
nhật kí		Na
nhật kỳ		Na
nhật ký		Nc, Ng
nhật lệnh		Na
nhật nguyệt		Nc, Ng
nhật thực		Nc, Ng
nhật trình		Nc, Ng
nhật tụng		Aa
nhâu		Vit
nhầu		Aa
nhầu nát		Aa
nhầu nhĩ		Aa
nhậu		Vit
nhậu nhẹt		Vit
nhây		Aa
nhây nhớp		Aa
nhây nhớt		Aa
nhầy		Aa
nhầy nhụa		Aa
nhẩy		Vit, Vt, I
nhẩy nhót		Vit
nhẫy		Aa
nhậy		Na, Aa
nhe		Vt
nhè		Vt
nhè nhẹ		An
nhẻ nhót		Aa
nhẽ		Na
nhé		I
nhẹ		An
nhẹ bỗng		An
nhẹ dạ		Aa
nhẹ lời		Aa
nhẹ miệng		Aa
nhẹ mồm nhẹ miệng		Aa
nhẹ nhàng		Aa, An
nhẹ nhõm		Aa, An
nhẹ tay		Aa
nhẹ tênh		Aa, An
nhem		Aa
nhem nhẻm		Aa
nhem nhép		Aa
nhem nhuốc		Aa
nhem thèm		Vit
nhèm		Aa
nhẹm		Aa
nhen		Vit
nhen nhóm		Vt
nhen nhúm		Vt
nhẹn		Aa
nheo		Vt
nheo nhéo		Vit
nheo nhóc		Aa
nhèo nhẽo		Aa
nhèo nhẹo		Vit, Aa
nhẽo		Aa
nhẽo nhèo		Aa
nhép		Aa
nhét		Vt
nhể		Vt
nhễ nhại		Aa
nhếch		Vt
nhếch nhác		Aa
nhệch		Nc, Vt
nhện		Nc, Ng
nhênh nhang		Vit, Aa
nhểu		Vit
nhếu nháo		Aa
nhi		Na
nhi đồng		Nc, Ng
nhi khoa		Nc, Ng
nhi nhí		Aa
nhi nữ		Nc, Ng
nhi nữ thường tình		X
nhì		Nl
nhì nhằng		Aa
nhì nhèo		Vit
nhỉ		Vit, I
nhĩ châm		Vit
nhí		An
nhí nha nhí nhảnh		Aa
nhí nha nhí nhoẻn		Vit
nhí nhảnh		Aa
nhí nháy		Vt
nhí nhoẻn		Vit
nhí nhố		Aa
nhị		Nc, Nn
nhị cái		Nc, Ng
nhị diện		Na
nhị đực		Nc, Ng
nhị hỉ		Na
nhị nguyên		Aa
nhị nguyên luận		Na
nhị phân		Vit
nhị tâm		Aa
nhị thể		Na
nhị thức		Na
nhị viện chế		Na
nhích		Vit
nhiếc		Vt
nhiếc mắng		Vt
nhiếc móc		Vt
nhiễm		Vta
nhiễm bệnh		Vit
nhiễm điện		Vit
nhiễm độc		Vit
nhiễm khuẩn		Vit
nhiễm sắc thể		Na
nhiễm thể		Na
nhiễm trùng		Vit
nhiễm từ		Vit
nhiễm xạ		Vit
nhiệm		Aa
nhiệm kì		Nc, Ng
nhiệm kỳ		Nc, Ng
nhiệm mầu		Aa
nhiệm nhặt		Aa
nhiệm sở		Nc, Ng
nhiệm vụ		Nc, Ng
nhiên hậu		Cc
nhiên liệu		Nc, Ng
nhiễn		Aa
nhiếp ảnh		Vit
nhiếp chính		Vit
nhiệt		Nc, Ng, Aa
nhiệt biểu		Nc, Ng
nhiệt dung		Nu
nhiệt điện		Na
nhiệt độ		Nu
nhiệt độ Celsius		Nu
nhiệt độ Fahrenheit		Nu
nhiệt độ không khí		Nu
nhiệt độ tới hạn		Nu
nhiệt động học		Na
nhiệt đới		Na
nhiệt đới hoá		Vt
nhiệt giai bách phân		Na
nhiệt hạch		Aa
nhiệt hoá học		Na
nhiệt học		Na
nhiệt huyết		Na
nhiệt kế		Nc, Ng
nhiệt liệt		Jd, Aa
nhiệt luyện		Vit
nhiệt lượng		Na
nhiệt lượng kế		Nc
nhiệt năng		Na
nhiệt tâm		Na, Aa
nhiệt thán		Na
nhiệt thành		Aa
nhiệt tình		Na, Aa
nhiêu		Nc, Ng
nhiêu khê		Aa
nhiều		Aa
nhiều chân		Nc, Ng
nhiều chuyện		Aa
nhiều nhặn		Aa
nhiều sãi không ai đóng cửa chùa		X
nhiễu		Nc
nhiễu		Nc, Vt
nhiễu hại		Vit
nhiễu loạn		Na, Vit
nhiễu nhương		Aa
nhiễu sự		Vit
nhím		Nc, Ng
nhìn		Vt
nhìn chung		X
nhìn nhận		Vt
nhín		Vt
nhịn		Vt
nhịn nhục		Vit
nhinh nhỉnh		Aa
nhỉnh		Aa
nhíp		Nc
nhịp		Na, Vt
nhịp điệu		Na
nhịp độ		Na
nhịp nhàng		Aa
nhíu		Vt
nhịu mồm		Aa
nho		Nc
nho gia		Nc, Ng
nho giáo		Na
nho học		Na
nho lâm		Na
nho nhã		Aa
nho nhỏ		An
nho nhoe		Vt
nho phong		Na
nho sĩ		Nc, Ng
nhỏ		Na, Vt, An
nhỏ bé		An
nhỏ con		An
nhỏ dại		An
nhỏ giọt		Vit
nhỏ mọn		Aa
nhỏ nhắn		An
nhỏ nhặt		Aa, An
nhỏ nhẻ		Aa
nhỏ nhẹ		Aa, An
nhỏ nhen		Aa
nhỏ nhoi		Aa, An
nhỏ thó		An
nhỏ to		Vit
nhỏ tuổi		Aa
nhỏ xíu		An
nhỏ yếu		Aa
nhọ		Nc, Aa
nhọ mặt		X
nhọ mặt người		X
nhọ nhem		Aa
nhọ nồi		Nc, Ng
nhoà		Aa
nhoai		Vt
nhoài		Vt
nhoáng		Vit
nhoáng nhoàng		Aa
nhoay nhoáy		Aa
nhoáy		Aa
nhóc		Nc, Ng
nhóc con		Nc, Ng
nhóc nhách		Vit
nhọc		Vit, Aa
nhọc lòng		Aa
nhọc nhằn		Aa
nhoe nhoét		Aa
nhoè		Aa
nhoè nhoẹt		Aa
nhoen nhoẻn		Vit, Aa
nhoèn		Aa
nhoẻn		Vt
nhoét		Aa
nhoẹt		Aa
nhoi		Vt
nhoi nhói		Aa
nhói		Aa
nhom nhem		Aa
nhòm		Vt
nhòm ngó		Vt
nhòm nhỏ		Vt
nhỏm		Vt
nhóm		Ng, Vt
nhóm họp		Vit
nhon nhón		Aa
nhón		Vt
nhón nhén		Jd
nhọn		Aa
nhọn hoắt		Aa
nhong nhong		Vit, Aa
nhong nhóng		Aa
